logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-2735.01,0.280321,0,0.5,0.05,0.301688,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.8,0,1,-nan
-1004.36,0.950695,0,0.5,0.05,0.193686,1,2.06115e-09,-nan,-nan,-nan,-nan,0.823245,-nan,-nan,-nan,0.743935,0.0148601,0.684783,-nan
-1002.33,0.252601,0,0.5,0.05,0.16441,1,2.06115e-09,-nan,-nan,-nan,-nan,0.711615,-nan,-nan,-nan,0.704871,0.00457263,0.772152,-nan
-925.145,0.533369,0,0.5,0.05,4.10609,1,2.06115e-09,-nan,-nan,-nan,-nan,0.947735,-nan,-nan,-nan,0.568433,0.0246773,0.194836,-nan
-906.408,0.533369,0,0.5,0.05,3.96451,1,2.06115e-09,-nan,-nan,-nan,-nan,0.939227,-nan,-nan,-nan,0.513116,0.0149893,0.0183486,-nan
-881.217,0.0107627,0,0.5,0.05,3.32066,1,2.06115e-09,-nan,-nan,-nan,-nan,0.949807,-nan,-nan,-nan,0.542615,0.0140969,0.106648,-nan
-852.315,0.0107627,0,0.5,0.05,3.53405,1,2.06115e-09,-nan,-nan,-nan,-nan,0.91689,-nan,-nan,-nan,0.525123,0.0140845,0.0077821,-nan
-847.834,0.0107627,0,0.5,0.05,3.39468,1,2.06115e-09,-nan,-nan,-nan,-nan,0.918919,-nan,-nan,-nan,0.496383,0.00668896,0.0152672,-nan
-811.524,0.0107627,0,0.5,0.05,4.42187,1,2.06115e-09,-nan,-nan,-nan,-nan,0.904632,-nan,-nan,-nan,0.511649,0.019305,0.00387597,-nan
-827.225,0.280321,0,0.5,0.05,5.64703,1,2.06115e-09,-nan,-nan,-nan,-nan,0.937078,-nan,-nan,-nan,0.518065,0.0110785,0.0448276,-nan
-837.666,0.930763,0,0.5,0.05,5.8316,1,2.06115e-09,-nan,-nan,-nan,-nan,0.935068,-nan,-nan,-nan,0.508758,0.0122124,0.037637,-nan
-790.252,0.0107627,0,0.5,0.05,5.89122,1,2.06115e-09,-nan,-nan,-nan,-nan,0.936911,-nan,-nan,-nan,0.521789,0.00679117,0.00232288,-nan
-819.876,0.43184,0,0.5,0.05,6.77633,1,2.06115e-09,-nan,-nan,-nan,-nan,0.886504,-nan,-nan,-nan,0.519806,0.00762804,0.0530348,-nan
-796.187,0.43184,0,0.5,0.05,7.3554,1,2.06115e-09,-nan,-nan,-nan,-nan,0.968454,-nan,-nan,-nan,0.506645,0.0137931,0.00299401,-nan
-781.251,0.0107627,0,0.5,0.05,7.3135,1,2.06115e-09,-nan,-nan,-nan,-nan,0.972441,-nan,-nan,-nan,0.511392,0.00191939,0.00220264,-nan
-787.374,0.0107627,0,0.5,0.05,6.78595,1,2.06115e-09,-nan,-nan,-nan,-nan,0.976744,-nan,-nan,-nan,0.490956,0.00492611,0.00342466,-nan
-784.134,0.43184,0,0.5,0.05,7.05134,1,2.06115e-09,-nan,-nan,-nan,-nan,0.956198,-nan,-nan,-nan,0.515034,0.00283286,0,-nan
-795.136,0.43184,0,0.5,0.05,6.01761,1,2.06115e-09,-nan,-nan,-nan,-nan,0.951807,-nan,-nan,-nan,0.526482,0.00943396,0.00673401,-nan
-775.515,0.0107627,0,0.5,0.05,7.5344,1,2.06115e-09,-nan,-nan,-nan,-nan,0.969868,-nan,-nan,-nan,0.519236,0.00976562,0.00369004,-nan
-779.73,0.930763,0,0.5,0.05,11.6332,1,2.06115e-09,-nan,-nan,-nan,-nan,0.974456,-nan,-nan,-nan,0.520447,0.0131072,0.00370508,-nan
-775.829,0.280321,0,0.5,0.05,7.57375,1,2.06115e-09,-nan,-nan,-nan,-nan,0.95827,-nan,-nan,-nan,0.509222,0.00828609,0.00406377,-nan
-778.384,0.533369,0,0.5,0.05,11.5374,1,2.06115e-09,-nan,-nan,-nan,-nan,0.967635,-nan,-nan,-nan,0.515787,0.0107034,0.00650274,-nan
-778.957,0.0107627,0,0.5,0.05,7.33948,1,2.06115e-09,-nan,-nan,-nan,-nan,0.966173,-nan,-nan,-nan,0.517066,0.00331675,0.00237906,-nan
-765.742,0.533369,0,0.5,0.05,12.3846,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991176,-nan,-nan,-nan,0.508197,0.00378788,0,-nan
-771.251,0.533369,0,0.5,0.05,13.122,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993711,-nan,-nan,-nan,0.494837,0,0,-nan
-774.372,0.828419,0,0.5,0.05,11.3279,1,2.06115e-09,-nan,-nan,-nan,-nan,0.955065,-nan,-nan,-nan,0.517194,0.0139895,0.0230268,-nan
-765.538,0.533369,0,0.5,0.05,13.5098,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997019,-nan,-nan,-nan,0.533658,0,0,-nan
-769.361,0.43184,0,0.5,0.05,8.33872,1,2.06115e-09,-nan,-nan,-nan,-nan,0.968385,-nan,-nan,-nan,0.510149,0.00680272,0.0022981,-nan
-779.2,0.930763,0,0.5,0.05,14.6342,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993188,-nan,-nan,-nan,0.509518,0.00269542,0.000669792,-nan
-769.043,0.43184,0,0.5,0.05,10.0647,1,2.06115e-09,-nan,-nan,-nan,-nan,0.978979,-nan,-nan,-nan,0.517324,0.00478469,0,-nan
-773.197,0.828419,0,0.5,0.05,10.6032,1,2.06115e-09,-nan,-nan,-nan,-nan,0.987812,-nan,-nan,-nan,0.510378,0,0,-nan
-766.886,0.43184,0,0.5,0.05,10.2349,1,2.06115e-09,-nan,-nan,-nan,-nan,0.980451,-nan,-nan,-nan,0.512995,0.0101523,0.00470958,-nan
-760.025,0.930763,0,0.5,0.05,15.5206,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993711,-nan,-nan,-nan,0.51323,0,0,-nan
-771.413,0.280321,0,0.5,0.05,7.91945,1,2.06115e-09,-nan,-nan,-nan,-nan,0.975054,-nan,-nan,-nan,0.504745,0.0091617,0.00488683,-nan
-756.11,0.533369,0,0.5,0.05,15.9222,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995734,-nan,-nan,-nan,0.51442,0.00626305,0.00203998,-nan
-762.577,0.533369,0,0.5,0.05,15.2397,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993958,-nan,-nan,-nan,0.512945,0,0,-nan
-768.521,0.828419,0,0.5,0.05,11.5437,1,2.06115e-09,-nan,-nan,-nan,-nan,0.983817,-nan,-nan,-nan,0.512172,0.00378072,0.000506073,-nan
-764.133,0.533369,0,0.5,0.05,15.1016,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994143,-nan,-nan,-nan,0.52501,0,0.00146843,-nan
-763.688,0.533369,0,0.5,0.05,14.2307,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997207,-nan,-nan,-nan,0.488562,0,0,-nan
-769.751,0.280321,0,0.5,0.05,9.92445,1,2.06115e-09,-nan,-nan,-nan,-nan,0.976904,-nan,-nan,-nan,0.511533,0.00131062,0.00106667,-nan
-756.754,0.930763,0,0.5,0.05,18.4217,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997846,-nan,-nan,-nan,0.514753,0.00147929,0.00038835,-nan
-769.346,0.533369,0,0.5,0.05,13.6803,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996158,-nan,-nan,-nan,0.516676,0.00505051,0.00310881,-nan
-759.251,0.930763,0,0.5,0.05,18.6562,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998529,-nan,-nan,-nan,0.517586,0,0,-nan
-760.119,0.280321,0,0.5,0.05,13.1515,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993464,-nan,-nan,-nan,0.512283,0.0146628,0.00235294,-nan
-759.826,0.930763,0,0.5,0.05,18.7062,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997147,-nan,-nan,-nan,0.535052,0,0,-nan
-761.414,0.43184,0,0.5,0.05,16.3362,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994872,-nan,-nan,-nan,0.517557,0.00172117,0.000223364,-nan
-765.304,0.533369,0,0.5,0.05,11.4621,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992344,-nan,-nan,-nan,0.51472,0.00536673,0.000640615,-nan
-761.319,0.0107627,0,0.5,0.05,14.463,1,2.06115e-09,-nan,-nan,-nan,-nan,0.984036,-nan,-nan,-nan,0.514011,0.00567721,0.00248269,-nan
-772.835,0.930763,0,0.5,0.05,19.2205,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997821,-nan,-nan,-nan,0.520096,0,0,-nan
-755.573,0.43184,0,0.5,0.05,17.0758,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998498,-nan,-nan,-nan,0.520701,0,0,-nan
-758.024,0.280321,0,0.5,0.05,15.4714,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995481,-nan,-nan,-nan,0.516321,0.0033389,0.000894454,-nan
