logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-2716.18,0.280321,0,0.5,0.05,0.294008,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.857143,-nan,-nan,-nan
-504,0.828419,0,0.5,0.05,2.88517,1,2.06115e-09,-nan,-nan,-nan,-nan,0.931587,-nan,-nan,-nan,0.72943,0,-nan,-nan
-411.169,0.930763,0,0.5,0.05,4.71469,1,2.06115e-09,-nan,-nan,-nan,-nan,0.918555,-nan,-nan,-nan,0.644324,-nan,-nan,-nan
-358.131,0.252601,0,0.5,0.05,3.0783,1,2.06115e-09,-nan,-nan,-nan,-nan,0.873531,-nan,-nan,-nan,0.618986,-nan,-nan,-nan
-315.484,0.43184,0,0.5,0.05,7.80079,1,2.06115e-09,-nan,-nan,-nan,-nan,0.931916,-nan,-nan,-nan,0.582203,0,-nan,-nan
-294.666,0.280321,0,0.5,0.05,4.79181,1,2.06115e-09,-nan,-nan,-nan,-nan,0.923341,-nan,-nan,-nan,0.584288,0,-nan,-nan
-289.743,0.280321,0,0.5,0.05,6.06731,1,2.06115e-09,-nan,-nan,-nan,-nan,0.987063,-nan,-nan,-nan,0.508906,0,-nan,-nan
-279.496,0.280321,0,0.5,0.05,7.0577,1,2.06115e-09,-nan,-nan,-nan,-nan,0.985155,-nan,-nan,-nan,0.532564,0,-nan,-nan
-280.078,0.828419,0,0.5,0.05,9.15732,1,2.06115e-09,-nan,-nan,-nan,-nan,0.982336,-nan,-nan,-nan,0.518141,0,-nan,-nan
-280.073,0.828419,0,0.5,0.05,9.17283,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998588,-nan,-nan,-nan,0.479773,0,-nan,-nan
-280,0.828419,0,0.5,0.05,9.50249,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998594,-nan,-nan,-nan,0.488673,0,-nan,-nan
-294.868,0.533369,0,0.5,0.05,9.78426,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981262,-nan,-nan,-nan,0.538597,1,-nan,-nan
-281.678,0.828419,0,0.5,0.05,9.5653,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999296,-nan,-nan,-nan,0.524021,0,-nan,-nan
-283.15,0.828419,0,0.5,0.05,10.2464,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99726,-nan,-nan,-nan,0.493786,0,-nan,-nan
-280.969,0.280321,0,0.5,0.05,9.59371,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995607,-nan,-nan,-nan,0.499068,0,-nan,-nan
-281.96,0.280321,0,0.5,0.05,8.36209,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997203,-nan,-nan,-nan,0.512987,0,-nan,-nan
-283.783,0.280321,0,0.5,0.05,8.81456,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998599,-nan,-nan,-nan,0.514931,0,-nan,-nan
-282.632,0.828419,0,0.5,0.05,11.723,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.507347,0,-nan,-nan
-280.371,0.280321,0,0.5,0.05,8.58249,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996624,-nan,-nan,-nan,0.482716,0,-nan,-nan
-280.962,0.280321,0,0.5,0.05,8.23975,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99867,-nan,-nan,-nan,0.482587,0,-nan,-nan
-280.1,0.828419,0,0.5,0.05,9.08031,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999528,-nan,-nan,-nan,0.511171,0,-nan,-nan
-285.073,0.43184,0,0.5,0.05,11.2811,1,2.06115e-09,-nan,-nan,-nan,-nan,0.98615,-nan,-nan,-nan,0.508682,0,-nan,-nan
-281.68,0.280321,0,0.5,0.05,9.25564,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998636,-nan,-nan,-nan,0.506027,0,-nan,-nan
-284.523,0.280321,0,0.5,0.05,8.77093,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998592,-nan,-nan,-nan,0.520833,0,-nan,-nan
-291.02,0.828419,0,0.5,0.05,4.88866,1,2.06115e-09,-nan,-nan,-nan,-nan,0.988401,-nan,-nan,-nan,0.514361,0,-nan,-nan
-280.59,0.43184,0,0.5,0.05,10.8743,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999306,-nan,-nan,-nan,0.511552,0,-nan,-nan
-282.279,0.43184,0,0.5,0.05,11.3423,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998615,-nan,-nan,-nan,0.524777,0,-nan,-nan
-296.417,0.930763,0,0.5,0.05,14.759,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994485,-nan,-nan,-nan,0.499984,-nan,-nan,-nan
-277.894,0.280321,0,0.5,0.05,10.3182,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998613,-nan,-nan,-nan,0.500488,0,-nan,-nan
-286.075,0.828419,0,0.5,0.05,6.43309,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989332,-nan,-nan,-nan,0.506923,0,-nan,-nan
-280.585,0.43184,0,0.5,0.05,9.79583,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993776,-nan,-nan,-nan,0.496419,0,-nan,-nan
-296.846,0.930763,0,0.5,0.05,17.7211,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998234,-nan,-nan,-nan,0.498549,-nan,-nan,-nan
-279.022,0.280321,0,0.5,0.05,9.64917,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999645,-nan,-nan,-nan,0.502421,0,-nan,-nan
-279.325,0.280321,0,0.5,0.05,8.7491,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.491749,0,-nan,-nan
-288.159,0.828419,0,0.5,0.05,5.79554,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981398,-nan,-nan,-nan,0.494969,0,-nan,-nan
-297.147,0.252601,0,0.5,0.05,6.27821,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981907,-nan,-nan,-nan,0.505361,-nan,-nan,-nan
-297.507,0.828419,0,0.5,0.05,4.44884,1,2.06115e-09,-nan,-nan,-nan,-nan,0.97972,-nan,-nan,-nan,0.489571,0,-nan,-nan
-301.489,0.930763,0,0.5,0.05,16.2794,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998343,-nan,-nan,-nan,0.501479,-nan,-nan,-nan
-281.612,0.280321,0,0.5,0.05,9.66196,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99778,-nan,-nan,-nan,0.501388,0,-nan,-nan
-285.287,0.43184,0,0.5,0.05,9.53538,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996282,-nan,-nan,-nan,0.499819,0,-nan,-nan
-283.638,0.280321,0,0.5,0.05,9.77284,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.512778,0,-nan,-nan
-286.962,0.43184,0,0.5,0.05,6.86928,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995088,-nan,-nan,-nan,0.508316,0,-nan,-nan
-279.059,0.280321,0,0.5,0.05,10.5906,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997906,-nan,-nan,-nan,0.512444,0,-nan,-nan
-277.589,0.280321,0,0.5,0.05,10.187,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.519438,0,-nan,-nan
-276.581,0.280321,0,0.5,0.05,10.855,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998559,-nan,-nan,-nan,0.502807,0,-nan,-nan
-294.812,0.252601,0,0.5,0.05,6.76404,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990423,-nan,-nan,-nan,0.504496,-nan,-nan,-nan
-287.333,0.828419,0,0.5,0.05,8.73614,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994114,-nan,-nan,-nan,0.501018,0,-nan,-nan
-281.948,0.828419,0,0.5,0.05,9.1047,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995896,-nan,-nan,-nan,0.499178,0,-nan,-nan
-281.1,0.280321,0,0.5,0.05,15.0766,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999645,-nan,-nan,-nan,0.493643,0,-nan,-nan
-282.622,0.828419,0,0.5,0.05,8.34482,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997151,-nan,-nan,-nan,0.497598,0,-nan,-nan
-280.498,0.43184,0,0.5,0.05,8.11017,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993562,-nan,-nan,-nan,0.505087,0,-nan,-nan
-281.131,0.43184,0,0.5,0.05,7.46101,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990057,-nan,-nan,-nan,0.496426,0,-nan,-nan
-280.484,0.43184,0,0.5,0.05,8.1279,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992938,-nan,-nan,-nan,0.499186,0,-nan,-nan
-293.478,0.0107627,0,0.5,0.05,8.96746,1,2.06115e-09,-nan,-nan,-nan,-nan,0.984989,-nan,-nan,-nan,0.511877,-nan,-nan,-nan
-279.467,0.828419,0,0.5,0.05,8.87265,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99889,-nan,-nan,-nan,0.503511,0,-nan,-nan
-284.242,0.280321,0,0.5,0.05,12.2271,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999414,-nan,-nan,-nan,0.506293,0,-nan,-nan
-288.065,0.43184,0,0.5,0.05,5.09499,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993967,-nan,-nan,-nan,0.512888,0,-nan,-nan
-279.448,0.280321,0,0.5,0.05,12.2305,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.497617,0,-nan,-nan
-277.995,0.280321,0,0.5,0.05,12.335,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995833,-nan,-nan,-nan,0.472383,0,-nan,-nan
-281.793,0.280321,0,0.5,0.05,10.9369,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.519247,0,-nan,-nan
-298.739,0.930763,0,0.5,0.05,20.7169,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998962,-nan,-nan,-nan,0.508505,-nan,-nan,-nan
-278.547,0.280321,0,0.5,0.05,9.67417,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.504673,0,-nan,-nan
-277.151,0.280321,0,0.5,0.05,10.2104,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998645,-nan,-nan,-nan,0.506183,0,-nan,-nan
-279.791,0.280321,0,0.5,0.05,9.66441,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997218,-nan,-nan,-nan,0.508571,0,-nan,-nan
-282.819,0.828419,0,0.5,0.05,12.6713,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998738,-nan,-nan,-nan,0.504554,0,-nan,-nan
-293.687,0.950695,0,0.5,0.05,12.6965,1,2.06115e-09,-nan,-nan,-nan,-nan,0.984032,-nan,-nan,-nan,0.511952,1,-nan,-nan
-277.057,0.280321,0,0.5,0.05,8.83148,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999527,-nan,-nan,-nan,0.494073,0,-nan,-nan
