City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buenos Aires,24,25,20,16,11,9,10,12,13,16,19,23
Sao Paulo,23,25,24,23,18,15,17,18,19,21,21,23
Rio de Janeiro,27,28,27,27,22,20,21,22,23,24,24,27
Salvador,27,28,28,28,26,25,25,24,25,26,27,27
Fortaleza,28,28,28,28,28,28,27,27,28,28,28,28
Belo Horizonte,23,25,23,23,20,19,19,21,22,23,22,23
Recife,28,28,28,28,26,26,25,26,27,28,28,28
Shanghai,5,7,11,16,20,24,30,29,25,21,14,9
Beijing,-5,0,8,15,20,25,27,27,21,13,4,-1
Guangzhou,14,14,17,24,27,29,30,29,28,26,20,17
Bogota,14,16,16,16,15,14,14,14,14,15,14,14
Medellin,18,18,19,18,18,18,18,18,18,18,17,17
Cali,26,27,26,25,25,25,24,26,25,24,24,24
Barranquilla,29,28,29,30,30,29,29,29,29,28,28,28
Cartagena,28,28,28,29,30,29,29,29,29,28,28,28
Dehli,15,19,25,32,34,34,31,30,30,28,21,17
Tokyo,7,8,11,16,20,22,26,28,25,19,12,10
Kobe,7,7,10,16,20,23,27,29,26,20,14,10
Manila,28,28,29,31,31,30,29,28,29,29,28,28
New York,2,3,9,11,16,22,26,26,22,15,10,4
